id,title,authors,year,venue,citation_count,doi,source_url,oa_url,pdf_path
b3bf9fe13195e9aa70e1dac04e01fcff7008e812,Perceiver: General Perception with Iterative Attention,Andrew Jaegle | Felix Gimeno | Andrew Brock | Andrew Zisserman | O. Vinyals | João Carreira,2021,International Conference on Machine Learning,1400,,,https://arxiv.org/pdf/2103.03206,data\pdfs\b3bf9fe13195e9aa70e1dac04e01fcff7008e812.pdf
2a805d0e1b067444a554c5169d189fa1f649f411,Scaling Vision Transformers,Xiaohua Zhai | Alexander Kolesnikov | N. Houlsby | Lucas Beyer,2021,Computer Vision and Pattern Recognition,1382,10.1109/CVPR52688.2022.01179,https://doi.org/10.1109/CVPR52688.2022.01179,https://arxiv.org/pdf/2106.04560,data\pdfs\2a805d0e1b067444a554c5169d189fa1f649f411.pdf
5f82a81766cb78395a55b8fc697c2421a20f4a9e,DUSt3R: Geometric 3D Vision Made Easy,Shuzhe Wang | Vincent Leroy | Yohann Cabon | Boris Chidlovskii | Jérôme Revaud,2023,Computer Vision and Pattern Recognition,1368,10.1109/CVPR52733.2024.01956,https://doi.org/10.1109/CVPR52733.2024.01956,https://arxiv.org/pdf/2312.14132,data\pdfs\5f82a81766cb78395a55b8fc697c2421a20f4a9e.pdf
367f7f64ded5d18528c1013db9dfa01b075db484,Medical Transformer: Gated Axial-Attention for Medical Image Segmentation,Jeya Maria Jose Valanarasu | Poojan Oza | I. Hacihaliloglu | Vishal M. Patel,2021,International Conference on Medical Image Computing and Computer-Assisted Intervention,1367,10.1007/978-3-030-87193-2_4,https://doi.org/10.1007/978-3-030-87193-2_4,https://arxiv.org/pdf/2102.10662,data\pdfs\367f7f64ded5d18528c1013db9dfa01b075db484.pdf
39b492db00faead70bc3f4fb4b0364d94398ffdb,Do Vision Transformers See Like Convolutional Neural Networks?,M. Raghu | Thomas Unterthiner | Simon Kornblith | Chiyuan Zhang | Alexey Dosovitskiy,2021,Neural Information Processing Systems,1343,,,https://arxiv.org/pdf/2108.08810,data\pdfs\39b492db00faead70bc3f4fb4b0364d94398ffdb.pdf
800cfb3d23115cdcd4d114234b65bbdf2080f798,CSWin Transformer: A General Vision Transformer Backbone with Cross-Shaped Windows,Xiaoyi Dong | Jianmin Bao | Dongdong Chen | Weiming Zhang | Nenghai Yu | Lu Yuan | Dong Chen | B. Guo,2021,Computer Vision and Pattern Recognition,1321,10.1109/CVPR52688.2022.01181,https://doi.org/10.1109/CVPR52688.2022.01181,https://arxiv.org/pdf/2107.00652,data\pdfs\800cfb3d23115cdcd4d114234b65bbdf2080f798.pdf
57150ca7d793d6f784cf82da1c349edf7beb6bc2,MetaFormer is Actually What You Need for Vision,Weihao Yu | Romy Mi Luo | Pan Zhou | Chenyang Si | Yichen Zhou | Xinchao Wang | Jiashi Feng | Shuicheng Yan,2021,Computer Vision and Pattern Recognition,1315,10.1109/CVPR52688.2022.01055,https://doi.org/10.1109/CVPR52688.2022.01055,http://arxiv.org/pdf/2111.11418,data\pdfs\57150ca7d793d6f784cf82da1c349edf7beb6bc2.pdf
6709d5583f658f589ae6a2184805933aceb18849,Twins: Revisiting the Design of Spatial Attention in Vision Transformers,Xiangxiang Chu | Zhi Tian | Yuqing Wang | Bo Zhang | Haibing Ren | Xiaolin Wei | Huaxia Xia | Chunhua Shen,2021,Neural Information Processing Systems,1300,,,https://arxiv.org/pdf/2104.13840,data\pdfs\6709d5583f658f589ae6a2184805933aceb18849.pdf
b364cdb02d18b9d9a3c097f5ea446f7e9ab10325,Going deeper with Image Transformers,Hugo Touvron | M. Cord | Alexandre Sablayrolles | Gabriel Synnaeve | Herv'e J'egou,2021,IEEE International Conference on Computer Vision,1279,10.1109/ICCV48922.2021.00010,https://doi.org/10.1109/ICCV48922.2021.00010,https://arxiv.org/pdf/2103.17239,data\pdfs\b364cdb02d18b9d9a3c097f5ea446f7e9ab10325.pdf
16f2d2f2b8103ed0c4a4e6f339a21247e58c5e78,Bottleneck Transformers for Visual Recognition,A. Srinivas | Tsung-Yi Lin | Niki Parmar | Jonathon Shlens | P. Abbeel | A. Vaswani,2021,Computer Vision and Pattern Recognition,1166,10.1109/CVPR46437.2021.01625,https://doi.org/10.1109/CVPR46437.2021.01625,https://arxiv.org/pdf/2101.11605,data\pdfs\16f2d2f2b8103ed0c4a4e6f339a21247e58c5e78.pdf
